"ProcessName","Path","Id"
"1Password",,"17116"
"1Password",,"18116"
"1Password",,"18376"
"1Password-BrowserSupport",,"372"
"Agent","C:\ProgramData\Battle.net\Agent\Agent.8151\Agent.exe","16108"
"AggregatorHost",,"8904"
"AMSPTelemetryService",,"11748"
"AppleMobileDeviceService",,"5528"
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","20868"
"audiodg",,"20248"
"AWCC","C:\Program Files\WindowsApps\DellInc.AlienwareCommandCenter_5.5.43.0_x64__htrsf667h5kn2\AWCC.exe","29144"
"AWCC.Background.Server","C:\Program Files\Alienware\Alienware Command Center\AWCC.Background.Server.exe","25488"
"AWCC.Service",,"16920"
"awscns","C:\Users\nico\AppData\Local\NhNotifSys\awsc\awscns.exe","13236"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","2360"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","23556"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","28796"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","29620"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","29744"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","30128"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","32676"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","32732"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","33880"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","35272"
"Battle.net","C:\Program Files (x86)\Battle.net\Battle.net.exe","18788"
"Battle.net","C:\Program Files (x86)\Battle.net\Battle.net.exe","20136"
"Battle.net","C:\Program Files (x86)\Battle.net\Battle.net.exe","20188"
"capiws",,"5664"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","20472"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","22560"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","23412"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","23620"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","24336"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","6516"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","10136"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","19740"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","29868"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","30232"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","31320"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","31352"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","32400"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","32592"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","34444"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","34656"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","35512"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","36176"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","37764"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","39888"
"Clock64","C:\Users\nico\Documents\T-Clock\Clock64.exe","19376"
"cmd","C:\WINDOWS\system32\cmd.exe","7132"
"cmd","C:\WINDOWS\system32\cmd.exe","37552"
"Code","C:\Users\nico\AppData\Local\Programs\Microsoft VS Code\Code.exe","11428"
